title_length,question_length,accepted_answer_id,question_date,tags,tags_length,view_count,answer_date
33,3280,20528066,2013-12-09 14:31:25.113 UTC,php|cakephp|localization|cakephp-2.4|cakephp-routing,52,1128,2013-12-11 19:18:56.607 UTC
45,996,20363730,2013-12-03 13:59:28.890 UTC,r,1,108,2013-12-03 23:19:30.933 UTC
63,368,20642718,2013-12-17 19:14:15.487 UTC,c#,2,109,2013-12-17 19:15:28.083 UTC
91,2565,20362693,2013-12-03 18:27:23.583 UTC,c#|inheritance|selenium-webdriver|ordered-test|test-class,57,370,2013-12-03 22:06:46.620 UTC
31,1876,20744094,2013-12-19 10:26:57.397 UTC,java|debugging|encryption|reverse-engineering|deobfuscation,59,115,2013-12-23 12:57:15.753 UTC
71,919,65064109,2020-11-29 18:17:54.140 UTC,amazon-web-services|spring-boot|spring-security|amazon-elastic-beanstalk|amazon-cloudfront,90,14,2020-11-29 19:15:12.890 UTC
33,573,65161853,2020-12-05 20:33:56.463 UTC,algorithm|graph-algorithm|directed-acyclic-graphs|ancestor,58,20,2020-12-05 20:55:43.297 UTC
89,676,64939909,2020-11-21 02:45:08.517 UTC,powerapps|powerapps-canvas|powerapps-formula|common-data-service,64,27,2020-11-21 04:42:35.870 UTC
103,3704,64998625,2020-11-24 23:08:59.670 UTC,python|pandas|latitude-longitude|nearest-neighbor|geopy,55,27,2020-11-25 04:39:24.253 UTC
48,268,65152640,2020-12-05 00:35:40.790 UTC,c#,2,29,2020-12-05 00:44:05.897 UTC
35,1088,64898423,2020-11-18 17:39:38.690 UTC,sql|hive|average|aggregate-functions|window-functions,53,32,2020-11-18 17:41:56.807 UTC
57,2040,64897808,2020-11-18 16:58:41.830 UTC,r,1,37,2020-11-18 17:03:46.793 UTC
60,458,65038327,2020-11-27 13:14:47.757 UTC,matlab|random|montecarlo|probability-density|uniform-distribution,65,37,2020-11-27 13:38:12.380 UTC
59,3326,65036166,2020-11-25 11:44:38.093 UTC,swift|uitableview|storyboard|uistackview|uitableviewautomaticdimension,70,38,2020-11-27 10:56:25.107 UTC
64,749,27641930,2014-12-24 07:06:42.737 UTC,javascript|reactive-programming|bacon.js|reactive-streams,57,276,2014-12-24 20:33:16.017 UTC
58,1047,27415212,2014-12-10 05:24:03.263 UTC,youtube|google-api|youtube-api|gdata|youtube-javascript-api,59,15895,2014-12-11 04:07:58.277 UTC
33,983,27385194,2014-12-09 16:40:49.283 UTC,javascript|jquery|angularjs|requirejs|angular-ui-bootstrap,58,43,2014-12-09 17:34:43.233 UTC
48,902,27568719,2014-12-15 11:04:52.390 UTC,sql-server|servlets|tomcat7|jndi|windows-server-2008-r2,55,49,2014-12-19 15:07:54.183 UTC
57,2003,27309319,2014-12-04 22:44:19.953 UTC,angularjs|android-contentprovider|angularjs-service|angularjs-module,68,309,2014-12-05 05:23:18.370 UTC
58,545,27436130,2014-12-10 20:16:52.537 UTC,azure|visual-studio-2013|azure-web-roles|azure-diagnostics,58,572,2014-12-12 02:58:35.757 UTC
78,1273,27438147,2014-12-12 04:48:45.940 UTC,go,2,6736,2014-12-12 06:34:51.877 UTC
109,577,27472235,2014-12-14 17:49:28.067 UTC,garbage-collection|programming-languages|interpreter,52,595,2014-12-14 17:56:50.510 UTC
47,1483,27321675,2014-12-05 17:34:55.323 UTC,javascript|jquery|twitter-bootstrap|iframe|twitter-bootstrap-3,62,96,2014-12-05 17:40:46.650 UTC
81,849,27666279,2014-12-27 09:19:23.543 UTC,javascript|jquery|google-chrome|google-chrome-extension,55,100,2014-12-27 10:16:45.563 UTC
63,582,27673162,2014-12-27 13:14:47.783 UTC,javascript|php|google-maps|google-maps-api-3|google-places-api,62,1640,2014-12-28 02:07:57.307 UTC
84,2498,32929889,2015-10-04 03:32:11.823 UTC,ios|swift|uinavigationcontroller|uinavigationbar|uicontainerview,64,1565,2015-10-04 03:58:34.077 UTC
35,1767,33026298,2015-10-08 13:15:38.540 UTC,maven|drools|dependency-management|ivy|drools-guvnor,52,1833,2015-10-08 21:32:11.307 UTC
58,10089,33046723,2015-10-09 14:22:58.523 UTC,unit-testing|haskell|dynamically-generated|io-monad|hunit,57,308,2015-10-09 20:35:53.360 UTC
38,1274,33036602,2015-10-09 10:45:04.343 UTC,r,1,60,2015-10-09 11:01:51.267 UTC
30,572,33099321,2015-10-13 09:38:24.860 UTC,php|laravel|laravel-5|laravel-form|laravel-filesystem,53,3139,2015-10-13 09:42:45.990 UTC
43,239,33769627,2015-10-19 06:48:42.267 UTC,scalability|google-cloud-platform|google-cloud-launcher,55,72,2015-11-18 00:19:39.480 UTC
74,1962,33494103,2015-10-06 13:48:31.503 UTC,spring-boot|metrics|codahale-metrics|spring-boot-actuator,57,1100,2015-11-03 08:05:57.680 UTC
90,2607,32970537,2015-10-06 12:33:45.317 UTC,r,1,1106,2015-10-06 12:54:02.280 UTC
50,641,33064087,2015-10-11 10:29:31.587 UTC,python|django|django-rest-framework|django-serializer,53,89,2015-10-11 10:46:51.193 UTC
52,618,33388357,2015-10-20 07:22:24.253 UTC,ajax|file|upload|internet-explorer-8|internet-explorer-9,56,1402,2015-10-28 10:18:43.087 UTC
57,2904,33343537,2015-10-20 14:11:06.077 UTC,django|authentication|django-rest-framework|ejabberd,52,380,2015-10-26 10:33:11.770 UTC
54,744,32527154,2015-09-10 16:43:47.083 UTC,html|spacebars|meteor-accounts|meteor-helper|isomorphic-javascript,66,52,2015-09-11 15:36:25.620 UTC
63,2725,32886474,2015-09-29 16:12:45.397 UTC,android|android-layout|android-activity|xamarin|xamarin.android,63,1590,2015-10-01 11:28:15.603 UTC
70,3102,32530417,2015-09-11 17:45:30.723 UTC,haskell|coding-style|associative-array|idioms|idiomatic,55,60,2015-09-11 19:00:06.850 UTC
46,811,32665198,2015-09-19 06:46:18.267 UTC,c#,2,96,2015-09-19 06:48:50.283 UTC
31,899,32623783,2015-09-17 06:12:01.690 UTC,python|django|django-templates|django-views|django-queryset,59,111,2015-09-17 06:24:38.327 UTC
72,2294,32669222,2015-09-13 07:56:22.187 UTC,android|notifications|push-notification|google-cloud-messaging,62,387,2015-09-19 14:15:39.710 UTC
45,1439,60317494,2019-12-13 08:20:55.173 UTC,android|unity3d|google-play|in-app-purchase|google-play-console,63,275,2020-02-20 10:12:01.320 UTC
65,445,59136009,2019-12-02 09:20:29.093 UTC,database|caching|storage|ignite|persistent-connection,53,25,2019-12-02 09:33:55.073 UTC
73,637,59214146,2019-12-06 10:29:18.827 UTC,reactjs|firebase|react-redux|firebase-authentication,52,29,2019-12-06 13:29:55.303 UTC
50,1690,59378673,2019-12-17 16:42:07.080 UTC,typescript|typescript-typings|factory-pattern|factory-method,60,40,2019-12-17 16:47:23.797 UTC
83,5691,59218720,2019-12-06 18:16:46.307 UTC,ios|swift|uicollectionviewcell|collectionview|indexpath,55,305,2019-12-06 18:48:21.877 UTC
46,1522,59131879,2019-12-02 02:21:38.397 UTC,r,1,51,2019-12-02 02:23:36.037 UTC
56,3297,59251264,2019-12-07 12:06:24.070 UTC,javascript|html|google-sheets|google-visualization|google-sheets-api,68,52,2019-12-09 14:46:53.007 UTC
73,753,59112114,2019-11-29 23:56:44.147 UTC,r,1,60,2019-11-29 23:58:52.827 UTC
99,1167,59357004,2019-12-16 10:44:49.503 UTC,amazon-web-services|mysql-5.6|sqltransaction|aws-aurora-serverless|aws-rds-data-service,87,337,2019-12-16 12:50:22.473 UTC
56,583,59453806,2019-12-23 09:53:33.490 UTC,php|facebook|facebook-graph-api|facebook-business-sdk,53,87,2019-12-23 10:35:21.183 UTC
56,932,59332111,2019-12-14 02:42:06.240 UTC,design-patterns|solid-principles|liskov-substitution-principle,62,98,2019-12-14 03:35:10.037 UTC
54,1343,59282885,2019-12-10 20:08:02.797 UTC,apache-kafka|avro|confluent-schema-registry|confluent-platform|confluent-cloud,78,116,2019-12-11 09:47:26.567 UTC
60,713,59311747,2019-12-12 19:36:26.690 UTC,list|scala|data-structures|functional-programming|higher-order-functions,72,117,2019-12-12 19:46:35.040 UTC
69,425,60882419,2020-03-27 07:10:37.907 UTC,google-sheets|google-sheets-formula|gs-conditional-formatting,61,20,2020-03-27 08:34:16.807 UTC
105,1689,60879337,2020-03-26 22:06:56.400 UTC,javascript|firebase-realtime-database|google-cloud-functions,60,30,2020-03-27 02:52:15.033 UTC
90,232,60661474,2020-03-12 17:26:15.397 UTC,javascript|typescript|selenium|selenium-chromedriver|webdriver-io,65,32,2020-03-12 20:29:53.127 UTC
52,751,60939820,2020-03-26 14:20:27.423 UTC,python|dataframe|machine-learning|scikit-learn|artificial-intelligence,70,33,2020-03-30 21:27:25.177 UTC
63,1036,60737825,2020-03-18 00:33:58.637 UTC,android|kotlin|android-intent|android-gallery|android-contentresolver,69,34,2020-03-18 10:42:19.750 UTC
37,1195,60942154,2020-03-30 16:20:33.363 UTC,java|apache-kafka|kafka-consumer-api|apache-kafka-streams,57,43,2020-03-31 01:40:29.227 UTC
53,359,60776579,2020-03-20 14:52:48.980 UTC,openssl|cryptography|public-key-encryption|evp-cipher|openssl-engine,68,49,2020-03-20 14:57:05.543 UTC
67,1560,60650503,2020-03-12 08:41:05.333 UTC,jq,2,51,2020-03-12 08:53:14.657 UTC
30,425,60903560,2020-03-28 15:40:40.673 UTC,r,1,61,2020-03-28 16:31:19.033 UTC
73,2077,60734529,2020-03-18 05:47:21.570 UTC,javascript|mysql|typescript|relational-database|typeorm,55,77,2020-03-18 06:34:09.913 UTC
58,573,60658605,2020-03-11 08:27:46.060 UTC,python|apache-kafka|kafka-consumer-api|avro|confluent-platform,62,99,2020-03-12 16:54:23.007 UTC
71,5343,18157182,2013-08-09 22:19:30.630 UTC,python|inheritance|python-2.7|initialization|finite-field,57,581,2013-08-09 23:36:27.980 UTC
57,1153,18511436,2013-08-29 12:17:38.013 UTC,javascript|facebook|facebook-graph-api|facebook-javascript-sdk,62,4707,2013-08-29 12:47:33.450 UTC
56,509,18517508,2013-08-29 17:30:33.593 UTC,.htaccess|redirect|mod-rewrite|url-rewriting|rewrite,52,101,2013-08-29 17:35:32.347 UTC
64,738,18404600,2013-08-23 13:23:02.540 UTC,maven|integration-testing|maven-surefire-plugin|maven-failsafe-plugin,69,373,2013-08-23 13:52:47.060 UTC
53,155,33428707,2015-10-30 04:22:52.653 UTC,javascript|user-interface|drop-down-menu|dynatree|jquery-dynatree,65,276,2015-10-30 04:33:11.110 UTC
42,2858,33459772,2015-11-01 01:11:12.203 UTC,android|android-layout|android-fragments|android-listfragment,61,1816,2015-11-01 06:21:04.640 UTC
37,2177,33552525,2015-11-05 18:53:03.740 UTC,java|android|android-layout|user-interface|android-appcompat,60,2587,2015-11-05 18:53:29.370 UTC
51,441,33414751,2015-10-29 12:48:47.070 UTC,r,1,29,2015-10-29 12:49:45.790 UTC
65,815,33691370,2015-11-13 10:53:17.380 UTC,ios|iphone|appcelerator|ipod-touch|appcelerator-titanium,56,56,2015-11-13 11:09:25.743 UTC
38,1254,33557892,2015-11-06 01:10:00.290 UTC,c#,2,63,2015-11-06 01:20:30.020 UTC
93,1433,33693734,2015-11-13 11:53:53.063 UTC,floating-point|precision|exponentiation|mathematical-expressions,64,80,2015-11-13 13:22:53.393 UTC
39,913,33742587,2015-11-16 17:30:55.887 UTC,android|ios|speech-recognition|text-to-speech|speech,52,85,2015-11-16 18:58:34.850 UTC
78,472,39475784,2015-10-31 12:18:29.280 UTC,android|amazon-web-services|push-notification|amazon-sns|baidu,62,599,2016-09-13 17:26:46.200 UTC
38,582,33463047,2015-10-31 18:55:20.730 UTC,visual-studio|cordova|ionic-framework|ionic|visual-studio-cordova,65,377,2015-11-01 14:09:14.430 UTC
136,3122,38482051,2015-11-12 00:02:34.920 UTC,java|multithreading|apache-kafka|distributed-computing|apache-zookeeper,71,1915,2016-07-20 13:01:12.550 UTC
55,2113,33517060,2015-10-30 13:27:23.537 UTC,python|multithreading|synchronization|multiprocessing,53,124,2015-11-04 08:32:09.033 UTC
40,177,33800585,2015-11-01 03:03:17.490 UTC,javascript|phantomjs|segmentation-fault|mocha-phantomjs,55,642,2015-11-19 09:59:53.937 UTC
44,813,17923020,2013-07-29 08:31:57.530 UTC,objective-c|uinavigationcontroller|uinavigationbar|uinavigationitem,67,1031,2013-07-29 11:38:15.040 UTC
96,2936,17911060,2013-07-28 17:18:43.060 UTC,objective-c|automatic-ref-counting|objective-c-blocks|retain-cycle,66,1044,2013-07-28 17:51:18.560 UTC
50,1089,18087094,2013-08-06 17:49:31.597 UTC,c#|variables|config|configurationmanager|appsettings,52,1589,2013-08-06 17:52:11.660 UTC
50,1851,17689678,2013-07-17 00:22:50.523 UTC,java|android|android-arrayadapter|android-spinner|onclicklistener,65,311,2013-07-17 01:36:05.630 UTC
49,3296,17842117,2013-07-24 15:38:36.470 UTC,iphone|objective-c|uitextfield|uitextview|uitextfielddelegate,61,73,2013-07-24 18:33:53.150 UTC
50,1113,18071447,2013-08-06 03:30:57.737 UTC,c#|multithreading|exception|indexoutofboundsexception,53,73,2013-08-06 03:38:34.410 UTC
80,404,17817389,2013-07-23 17:22:36.630 UTC,javascript|google-chrome|google-chrome-extension|browser-action,63,1102,2013-07-23 17:47:59.033 UTC
55,1127,18033002,2013-08-03 05:50:37.923 UTC,css|responsive-design|css-float|lightbox|fluid-layout,53,1137,2013-08-03 12:42:58.440 UTC
49,254,17903446,2013-07-26 12:45:43.770 UTC,digital-signature|bouncycastle|x509|digital-certificate|x509certificate2,72,886,2013-07-27 23:23:13.690 UTC
95,212,12383981,2012-09-11 07:21:08.557 UTC,asp.net|asp.net-ajax|twitter-bootstrap|ajaxcontroltoolkit,57,2370,2012-09-12 08:24:45.907 UTC
41,1829,12195011,2012-08-30 10:36:47.800 UTC,facebook-apps|facebook-authentication|facebook-app-requests,59,336,2012-08-30 10:39:30.190 UTC
58,333,12554807,2012-09-23 17:56:01.623 UTC,ruby-on-rails-3|web-services|web-applications|web|ruby-on-rails-3.2,67,107,2012-09-23 18:03:52.883 UTC
48,317,12369743,2012-09-11 12:20:44.800 UTC,php|facebook|facebook-graph-api|dashboard|facebook-login,56,373,2012-09-11 12:29:11.437 UTC
66,597,37598276,2016-06-02 15:27:56.967 UTC,asp.net-core|asp.net-core-mvc|.net-core|project.json,52,4235,2016-06-02 17:17:29.533 UTC
74,3160,37665479,2016-06-06 17:23:34.273 UTC,angularjs|pagination|angular-ui-router|angular-ui-bootstrap,59,672,2016-06-06 19:32:20.003 UTC
83,1184,37752561,2016-06-09 16:44:25.700 UTC,c#|sharepoint|single-sign-on|claims-based-identity|okta,55,430,2016-06-10 15:59:44.413 UTC
45,8606,37802757,2016-06-14 03:45:31.987 UTC,java|android|android-recyclerview|android-cardview|layout-inflater,66,180,2016-06-14 04:02:33.520 UTC
61,1012,37565089,2016-06-01 09:24:24.233 UTC,php|laravel|laravel-5|laravel-scheduler|laravel-mail,52,460,2016-06-01 09:45:28.563 UTC
22,4489,37746816,2016-06-10 10:24:30.737 UTC,r,1,10445,2016-06-10 11:13:50.193 UTC
79,1068,37636240,2016-06-04 23:25:38.970 UTC,ios|objective-c|swift|core-location|cllocationmanager,53,218,2016-06-05 00:12:51.310 UTC
89,1069,37768630,2016-06-11 21:02:12.530 UTC,javascript|python|facebook|facebook-graph-api|facebook-javascript-sdk,69,1278,2016-06-11 21:21:47.363 UTC
81,626,37406516,2016-05-24 06:59:08.963 UTC,xcode|swift|optional|forced-unwrapping|optional-chaining,56,317,2016-05-24 07:03:03.300 UTC
41,1465,37521261,2016-05-28 18:40:23.360 UTC,angularjs|cordova|ionic-framework|phonegap-plugins|barcode-scanner,66,2382,2016-05-30 08:42:25.103 UTC
88,2080,37638310,2016-06-04 15:49:47.663 UTC,android|android-intent|android-activity|android-service|android-notifications,77,1630,2016-06-05 03:57:07.927 UTC
35,730,233789,2008-10-24 14:30:40.797 UTC,sql-server-2005|linq-to-sql|inversion-of-control|structuremap,61,272,2008-10-24 14:34:06.810 UTC
33,1242,645001,2009-03-13 21:55:24.357 UTC,vb.net|asp.net-ajax|portability|custom-server-controls|portable-database,72,351,2009-03-13 23:44:34.157 UTC
36,1330,701211,2009-03-31 14:05:14.973 UTC,asp.net|architecture|asp.net-2.0|roles|security-roles,53,444,2009-03-31 14:25:38.403 UTC
34,1003,716869,2009-04-04 10:22:58.493 UTC,c#,2,404,2009-04-04 10:33:33.897 UTC
51,290,933286,2009-05-29 05:10:39.020 UTC,localization|internationalization|upgrade|installshield|multilingual,68,286,2009-06-01 01:37:41.217 UTC
49,1062,447524,2009-01-15 16:31:45.323 UTC,sql-server|database|sql-server-2005|stored-procedures|migration,63,468,2009-01-15 16:41:21.903 UTC
93,846,635804,2009-03-11 18:28:37.847 UTC,entity-framework|inheritance|single-table-inheritance,53,1833,2009-03-11 18:37:51.473 UTC
127,862,885226,2009-05-19 21:32:43.583 UTC,.net|assemblies|linker|embed|dynamically-generated-co,53,1089,2009-05-19 21:55:57.280 UTC
43,945,1240502,2009-08-06 17:57:48.167 UTC,asp.net-mvc|authentication|asp.net-membership|view|controller,61,1307,2009-08-06 18:05:16.483 UTC
27,1492,635057,2009-03-11 15:18:25.917 UTC,functional-programming|list|ocaml|variable-assignment,53,1459,2009-03-11 15:29:16.390 UTC
48,812,1148958,2009-07-19 00:07:56.170 UTC,qt,2,8152,2009-07-19 00:30:35.307 UTC
27,238,385829,2008-12-22 08:05:25.630 UTC,c#,2,1355,2008-12-22 09:10:14.703 UTC
86,1874,9002277,2012-01-25 10:40:28.777 UTC,repository|inversion-of-control|unity-container|unit-of-work|object-lifetime,76,214,2012-01-25 11:54:27.723 UTC
42,1249,9237491,2012-02-11 01:18:50.353 UTC,javascript|automated-tests|instruments|cs193p|ui-testing,56,331,2012-02-11 03:07:09.800 UTC
140,1765,9358258,2012-02-20 08:30:05.593 UTC,ruby-on-rails|ruby|ruby-on-rails-3|ruby-on-rails-3.1|rubygems,61,81,2012-02-20 08:47:53.287 UTC
82,235,7759710,2011-10-13 19:42:40.777 UTC,java|actionscript-3|numerical-methods|numerical-integration,59,545,2011-10-13 19:55:55.977 UTC
51,1877,8002832,2011-11-02 22:52:14.257 UTC,r,1,1215,2011-11-03 22:41:09.653 UTC
78,102,8143626,2011-11-10 23:06:32.810 UTC,c#|.net|entity-framework-4.1|ef-code-first|sql-server-2008-r2,61,1683,2011-11-15 21:48:30.403 UTC
104,8249,8195029,2011-11-19 15:22:00.030 UTC,java|eclipse|error-handling|noclassdeffounderror|classnotfoundexception,71,5861,2011-11-19 15:30:39.953 UTC
45,807,8204250,2011-11-20 05:33:19.680 UTC,prism|messaging|distributed-computing|eventaggregator|aggregator,64,383,2011-11-20 19:57:30.607 UTC
65,1813,7783332,2011-10-14 18:46:12.450 UTC,ruby|metaprogramming|dispatch|method-missing|dispatch-table,59,408,2011-10-16 09:07:33.923 UTC
47,634,7955638,2011-10-31 12:21:34.083 UTC,c#|.net|generics|inversion-of-control|unity-container,53,582,2011-10-31 15:13:26.850 UTC
79,1109,8083826,2011-11-10 17:18:46.833 UTC,c,1,160,2011-11-10 17:35:41.900 UTC
92,1257,8168731,2011-10-14 04:07:05.817 UTC,javascript|inheritance|constructor|prototypal-inheritance,57,1492,2011-11-17 14:27:30.247 UTC
40,729,7781789,2011-10-16 01:13:19.273 UTC,android|android-layout|android-imageview|android-canvas,55,5398,2011-10-16 01:31:56.993 UTC
79,439,34600398,2015-12-17 09:03:26.947 UTC,.net|windows-phone-8|barcode-scanner|windows-embedded-8,55,256,2016-01-04 21:42:52.553 UTC
96,698,34671081,2016-01-06 13:27:59.640 UTC,java|jpa|annotations|hibernate-annotations|hibernate-envers,59,531,2016-01-08 06:51:22.677 UTC
84,1147,34358214,2015-12-18 13:31:18.203 UTC,sql|sqlite|sql-update|android-contentprovider|bulkinsert,56,42,2015-12-18 14:49:07.723 UTC
69,3675,34365292,2015-12-17 23:32:16.873 UTC,c#|hibernate|nhibernate|nhibernate-mapping|hibernate-mapping,60,317,2015-12-18 23:08:48.370 UTC
35,1422,34255634,2015-12-13 18:24:34.940 UTC,swift|parse-platform|global-variables|local-variables,53,339,2015-12-13 19:56:26.397 UTC
92,455,34614933,2016-01-05 11:43:42.673 UTC,amazon-web-services|amazon-elastic-beanstalk|aws-ec2,52,607,2016-01-05 15:10:18.990 UTC
26,1105,34488596,2015-12-28 06:14:34.323 UTC,r,1,98,2015-12-28 06:19:52.403 UTC
27,256,34607405,2016-01-05 08:33:12.707 UTC,javascript|ecmascript-6|es6-modules|es6-module-loader,53,64866,2016-01-05 08:43:38.390 UTC
40,508,34668683,2016-01-08 02:22:10.900 UTC,if-statement|google-sheets|google-sheets-formula|gs-vlookup,59,117,2016-01-08 02:47:20.677 UTC
43,1099,34467218,2015-12-24 15:08:57.910 UTC,c#|asp.net|asp.net-mvc|asp.net-identity|asp.net-identity-2,58,1147,2015-12-25 23:10:20.663 UTC
84,1459,57643650,2019-08-23 08:06:42.673 UTC,python|amazon-rds|amazon-ecs|amazon-sagemaker|aws-step-functions,64,282,2019-08-25 06:07:36.897 UTC
89,450,57450945,2019-08-11 14:40:38.670 UTC,android-studio|gradle|android-gradle-plugin|build.gradle,56,35,2019-08-11 14:44:40.857 UTC
24,1480,57537787,2019-08-17 11:33:05.100 UTC,if-statement|google-sheets|google-sheets-formula|array-formulas|countif,71,49,2019-08-17 15:53:47.933 UTC
74,1438,57802410,2019-09-05 09:19:52.257 UTC,google-cloud-platform|google-kubernetes-engine|gcloud,53,1841,2019-09-05 09:28:59.437 UTC
40,328,57536621,2019-08-17 13:02:59.747 UTC,javascript|windows|web|browser|launching-application,52,307,2019-08-17 13:14:37.500 UTC
81,942,57427332,2019-08-09 09:29:59.823 UTC,javascript|ajax|xpages|session-variables|xpages-ssjs,52,54,2019-08-09 09:38:50.097 UTC
46,6725,57543160,2019-08-16 12:23:54.870 UTC,java|android|android-recyclerview|expandablelistview,52,55,2019-08-18 09:10:13.923 UTC
56,713,57462932,2019-08-12 13:24:44.630 UTC,azure-functions|azure-data-factory|azure-data-factory-2,55,57,2019-08-12 14:18:01.433 UTC
73,3555,57761421,2019-09-02 17:15:43.157 UTC,angular|firebase|server-side-rendering|angular-cli-v8,53,828,2019-09-02 18:34:55.913 UTC
43,1208,57697749,2019-08-22 06:23:52.227 UTC,python|networkx|social-networking|graph-visualization,53,1865,2019-08-28 17:55:37.310 UTC
32,5982,57493617,2019-08-08 11:35:36.670 UTC,angular|firebase|google-cloud-functions|nestjs|angular-universal,64,589,2019-08-14 11:14:54.140 UTC
41,720,57796593,2019-09-04 22:25:19.370 UTC,visual-studio-2019|stylecop|static-code-analysis|roslyn-code-analysis|roslynator,80,1618,2019-09-04 23:12:47.540 UTC
53,5668,57560016,2019-08-19 15:06:32.560 UTC,java|artificial-intelligence|chess|minimax|alpha-beta-pruning,61,89,2019-08-19 15:44:03.267 UTC
57,748,57623953,2019-08-23 09:37:42.733 UTC,autodesk-forge|autodesk-viewer|autodesk-model-derivative,56,351,2019-08-23 10:01:17.893 UTC
112,4195,57515113,2019-08-15 19:14:06.527 UTC,javascript|angularjs|jestjs|puppeteer|angularjs-material,56,872,2019-08-15 19:27:11.390 UTC
70,4647,57736725,2019-08-28 10:30:20.507 UTC,azure|azureservicebus|azure-resource-manager|servicebus|azure-servicebus-topics,79,618,2019-08-31 09:22:52.567 UTC
38,2655,45030849,2017-07-11 09:18:15.720 UTC,ios|objective-c|swift|objective-c-blocks|actionsheetpicker,58,512,2017-07-11 09:40:48.530 UTC
56,2166,45075590,2017-07-12 20:04:23.717 UTC,xaml|xamarin|uwp|xamarin.forms|xamarin.forms.listview,53,257,2017-07-13 08:41:06.867 UTC
73,11781,45105145,2017-07-11 16:20:13.577 UTC,python|docker|scrapy|docker-compose|http-status-code-500,56,1797,2017-07-14 14:13:55.367 UTC
30,313,45442542,2017-08-01 13:33:45.693 UTC,active-directory|azure-active-directory|microsoft-graph-api|active-directory-group,82,264,2017-08-01 15:59:18.727 UTC
52,1915,45280776,2017-07-24 11:28:43.670 UTC,java|spring|spring-mvc|spring-security|spring-security-oauth2,61,790,2017-07-24 12:33:58.587 UTC
84,850,45316254,2017-07-26 01:30:54.600 UTC,r,1,36,2017-07-26 02:08:48.483 UTC
63,950,45356001,2017-07-27 15:34:13.100 UTC,json|amazon-web-services|amazon-dynamodb|validationerror,56,548,2017-07-27 16:12:15.263 UTC
67,638,45455724,2017-08-02 08:36:33.757 UTC,c#,2,38,2017-08-02 08:39:51.163 UTC
41,835,45418097,2017-07-31 13:59:33.430 UTC,r,1,46,2017-07-31 14:04:50.663 UTC
45,543,45352324,2017-07-27 07:47:13.877 UTC,macos|visual-studio|mono|visual-studio-2017|nopcommerce,55,1086,2017-07-27 13:31:59.720 UTC
47,2733,45042878,2017-07-11 18:09:51.593 UTC,python|google-app-engine|firebase|firebase-authentication|google-oauth,70,833,2017-07-11 19:17:22.327 UTC
63,1418,45299823,2017-07-25 09:29:14.707 UTC,r,1,73,2017-07-25 09:55:36.793 UTC
39,2088,45395224,2017-07-29 19:34:07.007 UTC,android|android-layout|android-viewpager|touch|android-view,59,585,2017-07-30 00:18:40.060 UTC
